nest_id,date,day_of_year,time,adult,num_host_egg,num_host_hatch,num_bhco_egg,num_bhco_hatch,new_parasitism,predated,nest_damage,weather_impact,natural_parasitism,nest_deserted,nest_buried,desertion_burial_effect,predation_weather_effect,host_nest_outcome,bhco_nest_outcome,max_host_egg,addled_host_egg,num_addled_host_egg,max_host_hatch,num_host_egg_before_hatch,host_proportion_hatch,host_hatching_sucess,host_clutch_initiation_date,host_clutch_initiation_day_of_year,host_clutch_initiation_estimated,host_first_hatch_date,host_first_hatch_day_of_year,host_last_hatch_date,host_last_hatch_day_of_year,host_time_to_hatch,host_hatching_period,max_bhco_egg,max_bhco_hatch,num_bhco_egg_before_hatch,bhco_proportion_hatch,bhco_hatching_sucess,bhco_clutch_initiation_date,bhco_clutch_initiation_day_of_year,bhco_clutch_initiation_estimated,bhco_first_hatch_date,bhco_first_hatch_day_of_year,bhco_last_hatch_date,bhco_last_hatch_day_of_year,bhco_time_to_hatch,bhco_hatching_period,bhco_swab,host_swab,host_swab_first_egg,num_host_swabs,average_host_incubation_period,citation_average_host_incubation_period,average_bhco_incubation_period,citation_average_bhco_incubation_period,field_notes,data_cleaning_notes,master_number,host_species,lat_direction,latitude,long_direction,longitude,height,tree_species,site,target_species,num_host_egg_first_day
a1,2022-06-01,152,08:58:00,yes,2,1,0,0,no,no,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.","1 hatchling, 2 eggs",", bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a1,2022-06-02,153,10:35:00,yes,1,2,0,0,no,no,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.","2 hatchlings, 1 egg",", bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a1,2022-06-03,154,08:42:00,yes,1,2,0,0,no,no,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a1,2022-06-04,155,10:55:00,yes,0,3,0,0,no,no,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a1,2022-06-05,156,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,"nest not monitored on this date, bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a1,2022-06-06,157,10:40:00,no,1,0,0,0,no,yes,no,no,no,no,no,no,yes,complete sucess,NA,3,no,0,3,NA,1,NA,NA,NA,NA,NA,NA,2022-06-04,155,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",no nest damage,", bhco proportion hatch unknown because nest not initiated, first host hatch was not witnessed, bhco clutch not initiated",65,YEWA,N,53.9252169770074,W,-100.538738130189,13,box elder,pcc,yes,3
a10,2022-05-25,145,11:20:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-26,146,10:07:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-27,147,09:01:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-28,148,08:15:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-29,149,08:35:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-30,150,09:14:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-05-31,151,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,"nest not monitored on this date, bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-06-01,152,09:14:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-06-02,153,10:42:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-06-03,154,09:43:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-06-04,155,12:30:00,yes,4,0,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
a10,2022-06-05,156,11:17:00,yes,2,2,0,0,no,no,no,no,no,no,no,no,no,complete sucess,NA,4,no,0,4,4,1,1,2022-05-21,141,yes,2022-06-05,156,2022-06-07,158,17,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,0,12,"Birds of the world: Yasukawa, K. and W. A. Searcy (2020). Red-winged Blackbird (Agelaius phoeniceus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.lib.uwo.ca/10.2173/bow.rewbla.01",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, clutch initiation estimated based on average incubation time and hosts laying every 24hrs, bhco clutch not initiated",33,RWBL,N,54.3386783060005,W,-103.169250290444,120,cat tail,dwf,yes,4
