nest_id,date,day_of_year,time,adult,num_host_egg,num_host_hatch,num_bhco_egg,num_bhco_hatch,new_parasitism,predated,nest_damage,weather_impact,natural_parasitism,nest_deserted,nest_buried,desertion_burial_effect,predation_weather_effect,host_nest_outcome,bhco_nest_outcome,max_host_egg,addled_host_egg,num_addled_host_egg,max_host_hatch,num_host_egg_before_hatch,host_proportion_hatch,host_hatching_sucess,host_clutch_initiation_date,host_clutch_initiation_day_of_year,host_clutch_initiation_estimated,host_first_hatch_date,host_first_hatch_day_of_year,host_last_hatch_date,host_last_hatch_day_of_year,host_time_to_hatch,host_hatching_period,max_bhco_egg,max_bhco_hatch,num_bhco_egg_before_hatch,bhco_proportion_hatch,bhco_hatching_sucess,bhco_clutch_initiation_date,bhco_clutch_initiation_day_of_year,bhco_clutch_initiation_estimated,bhco_first_hatch_date,bhco_first_hatch_day_of_year,bhco_last_hatch_date,bhco_last_hatch_day_of_year,bhco_time_to_hatch,bhco_hatching_period,bhco_swab,host_swab,host_swab_first_egg,num_host_swabs,average_host_incubation_period,citation_average_host_incubation_period,average_bhco_incubation_period,citation_average_bhco_incubation_period,field_notes,data_cleaning_notes,master_number,host_species,lat_direction,latitude,long_direction,longitude,height,tree_species,site,target_species,num_host_egg_first_day,num_eggs_first_host_swab,num_eggs_second_host_swab,num_eggs_third_host_swab,host_swab_order
a104,2022-06-12,163,13:27:00,no,0,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-13,164,10:55:00,yes,1,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,first
a104,2022-06-14,165,13:20:00,yes,2,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-15,166,09:58:00,yes,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-16,167,12:30:00,no,4,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-17,168,09:32:00,no,4,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-18,169,11:16:00,no,4,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-19,170,09:52:00,no,4,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-20,171,10:28:00,no,4,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-21,172,10:11:00,yes,3,0,0,0,no,yes,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.","1 egg missing, nest intact",", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-22,173,10:14:00,no,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-23,174,10:30:00,yes,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-24,175,11:53:00,yes,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,second
a104,2022-06-25,176,09:52:00,no,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-26,177,09:58:00,no,3,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-27,178,08:41:00,yes,1,2,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a104,2022-06-28,179,07:44:00,no,0,3,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,4,no,0,3,3,0.75,1,2022-06-13,164,no,2022-06-27,178,2022-06-28,179,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",all hatch,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",88,YEWA,N,54.6335245786622,W,-101.630360233121,71,box elder,dwf,yes,0,1,3,NA,NA
a105,2022-06-10,161,09:54:00,yes,0,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,5,no,0,3,5,0.6,0.6,2022-06-11,162,no,2022-06-24,175,2022-06-26,177,15,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",177,YEWA,N,52.8301664412886,W,-102.59679968529301,233,box elder,dwf,yes,0,1,5,NA,NA
a105,2022-06-11,162,08:31:00,yes,1,0,0,0,no,no,no,no,no,no,no,no,yes,partial sucess,NA,5,no,0,3,5,0.6,0.6,2022-06-11,162,no,2022-06-24,175,2022-06-26,177,15,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,2,11,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",12,"McMaster, D. G., & Sealy, S. G. (1998). Short incubation periods of Brown-headed Cowbirds: How do cowbird eggs hatch before Yellow Warbler eggs?. The Condor, 100(1), 102-111.",NA,", bhco proportion hatch unknown because nest not initiated, bhco clutch not initiated",177,YEWA,N,52.8301664412886,W,-102.59679968529301,233,box elder,dwf,yes,0,1,5,NA,first
